Cell	ImmClassifier_prediction
cell_796	L:T:CD8:Ex
cell_857	L:T:CD4:Treg
cell_1002	L:T:CD4:Tfh
cell_1052	L:T:CD4:Treg
cell_1227	L:T:CD4:Treg
cell_734	L:B
cell_794	L:B:PC
cell_795	L:B:PC
cell_802	L:B
cell_812	L:B
cell_864	L:B:PC
cell_892	L:B
cell_920	L:B
cell_929	L:B
cell_953	L:B
cell_965	L:B
cell_987	L:B
cell_1046	L:B
cell_1083	L:B
cell_1103	L:B
cell_1108	L:B
cell_1119	L:B:PC
cell_1123	L:B
cell_1128	L:B
cell_1167	L:B:PC
cell_1172	L:B
cell_1190	L:B
cell_1234	L:B
cell_767	L:NK
cell_770	L:NK
cell_791	L:NK
cell_930	L:NK
cell_1068	L:B
cell_1141	L:NK
cell_1186	L:NK
cell_1191	L:NK
cell_1193	L:B
cell_1049	L:T:CD4:EM
cell_1200	L:T:CD4:TRM
cell_740	L:T:CD4:TRM
cell_741	L:T:CD4:TRM
cell_772	L:T:CD4:TRM
cell_781	L:T:CD8:TRM
cell_853	L:T:CD4:TRM
cell_914	L:unconvT:MAIT
cell_935	L:NK
cell_998	L:NK
cell_1009	L:unconvT:gdT
cell_1021	L:T:CD8:TRM
cell_1067	L:T:CD4:Tfh
cell_1073	M:Mega
cell_1137	L:B
cell_1204	L:T:CD8:Ex
cell_1214	L:T:CD8:EM
cell_1219	L:T:CD8:EM
cell_787	L:unconvT:gdT
cell_809	L:NK
cell_845	L:T:CD8:EM
cell_859	L:unconvT:MAIT
cell_889	L:unconvT:MAIT
cell_906	L:NK
cell_924	L:NK
cell_931	L:NK
cell_939	L:NK
cell_943	M:Mega
cell_1034	L:NK
cell_1053	L:T:CD4:TRM
cell_1078	L:NK
cell_1084	L:NK
cell_1101	L:NK
cell_1197	L:NK
cell_1213	L:NK
cell_958	M:Mono:Mac
cell_733	L:B
cell_785	L:B:PC
cell_831	L:B
cell_838	L:B
cell_851	L:B:PC
cell_921	L:B
cell_933	L:B
cell_942	L:B:PC
cell_949	L:B
cell_1001	L:B
cell_1036	L:B
cell_1061	L:B
cell_1064	L:B
cell_1129	L:B
cell_1130	L:B
cell_1142	L:B:PC
cell_1215	L:B:PC
cell_1231	L:B
cell_722	L:T:CD4:EM
cell_768	L:T:CD4:CM
cell_821	L:T:CD4:TRM
cell_826	L:T:CD4:EM
cell_940	L:T:CD4:TRM
cell_986	L:T:CD4:Treg
cell_1020	L:T:CD4:Treg
cell_1070	L:T:CD4:Naive
cell_1079	L:T:CD4:EM
cell_1114	L:T:CD4:Treg
cell_1118	L:T:CD4:CM
cell_1224	L:T:CD4:EM
cell_750	M:Neu
cell_756	M:Neu
cell_803	M:Mono:Mac
cell_879	M:Mono:Mac
cell_880	M:Mono:Mac
cell_916	M:Mono:Mac
cell_989	M:Mono:Mac
cell_992	M:Neu
cell_1010	M:Mono:Mac
cell_1024	M:Mono:Mac
cell_1045	M:Mono:Mac
