Cell	ImmClassifier_prediction
JTC.83.0508	L:T:CD8:EMRA
JTC.84.0508	L:T:CD8:EMRA
JTC.85.0508	L:T:CD8:EMRA
JTC.86.0508	L:T:CD8:EM
JTC.87.0508	L:T:CD8:EM
JTC.89.0508	L:T:CD8:EMRA
JTC.9.0508	L:T:CD8:TRM
JTC.91.0508	L:T:CD8:EMRA
JTC.92.0508	L:T:CD8:EMRA
JTC.93.0508	L:T:CD8:EMRA
JTC.94.0508	L:T:CD8:EMRA
JTC.95.0508	L:T:CD8:EMRA
NTC1.7.0508	L:T:CD8:EM
NTC1.8.0508	L:T:CD8:EM
PTS100.0205	L:T:CD4:CM
PTS101.0205	L:T:CD4:CM
PTS102.0205	L:T:CD4:CM
PTS104.0205	L:T:CD4:CM
PTS105.0205	L:T:CD4:Naive
PTS106.0205	L:T:CD4:CM
PTS107.0205	L:T:CD4:CM
PTS108.0205	L:T:CD4:Naive
PTS109.0205	L:T:CD4:Naive
PTS112.0205	L:T:CD4:CM
PTS113.0205	L:T:CD4:Naive
PTS114.0205	L:T:CD4:CM
PTS115.0205	L:T:CD4:Treg
PTS116.0205	L:T:CD4:Naive
PTS118.0205	L:T:CD4:CM
PTS119.0205	L:T:CD4:CM
PTS120.0205	L:T:CD4:Naive
PTS121.0205	L:T:CD4:CM
PTS122.0205	L:T:CD4:Naive
PTS123.0205	L:T:CD4:Naive
PTS124.0205	L:T:CD4:Naive
PTS125.0205	L:T:CD4:Naive
PTS126.0205	L:T:CD4:Naive
PTS127.0205	L:T:CD4:Naive
PTS128.0205	L:T:CD4:Naive
PTS129.0205	L:T:CD4:CM
PTS130.0205	L:T:CD4:CM
PTS131.0205	L:T:CD4:Naive
PTS73.0205	L:T:CD4:Naive
PTS74.0205	L:T:CD4:CM
PTS75.0205	L:T:CD4:Naive
PTS76.0205	L:T:CD4:Naive
PTS77.0205	L:T:CD4:CM
PTS78.0205	L:T:CD4:CM
PTS80.0205	L:T:CD4:Naive
PTS81.0205	L:T:CD4:Naive
PTS83.0205	L:T:CD4:CM
PTS84.0205	L:T:CD4:CM
PTS86.0205	L:T:CD4:CM
