Cell	ImmClassifier_prediction
HN28_P15_D09_S333_comb	M:cDC
HN26_P25_E12_S156_comb	L:T:CD4:Naive
HN26_P6_H11_S95_comb	M:cDC
HN25_P5_B08_S20_comb	L:T:CD4:TRM
HN26_P13_A08_S104_comb	CD34
HN28_P6_D04_S136_comb	L:T:CD4:Naive
HN26_P5_F03_S63_comb	L:T:CD4:Treg
HN26_P25_B07_S115_comb	L:B
HNSCC26_P12_G07_S271_comb	CD34
HN28_P6_D02_S134_comb	CD34
HN28_P15_G05_S365_comb	L:B:PC
HN25_P5_G09_S81_comb	L:T:CD4:Treg
HN25_P23_E09_S249_comb	L:T:CD4:Naive
HN25_P5_C03_S27_comb	L:T:CD4:TRM
HN28_P15_B02_S302_comb	CD34
HN26_P6_E03_S51_comb	M:cDC
HNSCC26_P12_D06_S234_comb	L:B
HN25_P25_E08_S344_comb	M:cDC
HN25_P5_D02_S38_comb	L:T:CD4:TRM
HN28_P15_D10_S334_comb	CD34
HN26_P5_E01_S49_comb	CD34
HN26_P6_B01_S13_comb	L:B
HN28_P15_G02_S362_comb	L:B:PC
HN26_P5_C07_S31_comb	L:T:CD4:TRM
HNSCC26_P24_F07_S355_comb	CD34
HNSCC26_P24_D07_S331_comb	CD34
HN26_P6_A09_S9_comb	CD34
HN28_P6_F06_S162_comb	CD34
HN28_P6_A10_S106_comb	CD34
HNSCC26_P24_A06_S294_comb	L:B
HN26_P14_G11_S275_comb	L:T:CD4:Treg
HN25_P24_H12_S192_comb	M:cDC
HNSCC26_P12_F07_S259_comb	CD34
HN25_P5_G05_S77_comb	L:T:CD4:Naive
HN26_P26_G09_S369_comb	L:B
HN26_P5_B04_S16_comb	L:T:CD4:Treg
HN28_P6_A08_S104_comb	CD34
HN28_P6_B10_S118_comb	L:T:CD4:TRM
HN26_P14_C03_S219_comb	CD34
